cole_nombre_establecimiento,Promedio_Puntaje_Global,cole_bilingue,cole_caracter,cole_calendario,cole_genero,cole_jornada,cole_naturaleza,cole_area_ubicacion,cole_depto_ubicacion,Decil
"""CENTRO EDUCATIVO TÉCNICO INTEGRAL """"CETI""""""",257.2857142857143,N,TÉCNICO,A,MIXTO,MAÑANA,NO OFICIAL,URBANO,VALLE,6
"""COLEGIO PARA LA REINTEGRACION INTELECTUAL DEL ORIENTE """"CORPORIENTE""""""",207.9378238341969,Desconocido,ACADÉMICO,A,MIXTO,SABATINA,NO OFICIAL,URBANO,CESAR,1
"""COLEGIO TECNICO INDUSTRIAL """"CORAZON DE MARIA""""""",269.12820512820514,N,ACADÉMICO,A,MIXTO,MAÑANA,NO OFICIAL,URBANO,CUNDINAMARCA,7
"""I.E. DE FORMACIÓN PARA LA VIDA """"CEVIDA""""""",256.05882352941177,N,TÉCNICO,A,MIXTO,MAÑANA,NO OFICIAL,URBANO,ANTIOQUIA,6
"""IED """"MONSEÑOR ALBERTO REYES FONSECA""""""",247.8125,N,TÉCNICO/ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,URBANO,CUNDINAMARCA,5
"""INSTITUCION EDUCATIVA """"CENTEC""""""",205.66666666666666,N,ACADÉMICO,A,MIXTO,SABATINA,NO OFICIAL,URBANO,TOLIMA,1
"""INSTITUCION EDUCATIVA CENTRO REGIONAL DE INVESTIGACION EDUCACION Y EXTENSION DE TAURAMENA """"CRIET""""""",239.15384615384616,N,TÉCNICO/ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,RURAL,CASANARE,4
"""INSTITUCION EDUCATIVA DISTRITAL DE BARRANQUILLA """"CODEBA""""""",253.75,N,ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,URBANO,ATLANTICO,5
"""INSTITUCION EDUCATIVA DISTRITAL TECNICA DIVERSIFICADA DE BARRANQUILLA """"COTEDIBA""""""",234.3956043956044,N,TÉCNICO/ACADÉMICO,A,MIXTO,TARDE,OFICIAL,URBANO,ATLANTICO,3
"""INSTITUCION EDUCATIVA JOSE ODEL LIZARAZO """"VILLAMAGA""""""",251.61111111111111,N,ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,RURAL,ARAUCA,5
"""INSTITUCION EDUCATIVA SAN NICOLAS """"INESAN""""""",259.2586206896552,Desconocido,ACADÉMICO,A,MIXTO,NOCHE,OFICIAL,URBANO,RISARALDA,6
"""INSTITUCIÓN EDUCATIVA TÉCNICA  AGROPECUARIA",49.294117647058826,N,TÉCNICO,A,MIXTO,MAÑANA,OFICIAL,RURAL,BOLIVAR,1
